"ガラス","ガラス","n","glass","pane",
"カーテン","カーテン","n","curtain",,
"ケーキ","ケーキ","n","cake",,
"こっち","こっち","n","(1) this person","(2) this direction,(3) this side,(4) thereafter",
"こと","こと","n","thing","matter,fact",
"ごみ","ごみ","n","rubbish","trash,garbage",
"コンサート","コンサート","n","concert",,
"コンピュータ/コンピューター","コンピュータ/コンピューター","n","computer",,
"さっき","さっき","n","some time ago",,
"サラダ","サラダ","n","salad",,
"サンダル","サンダル","n","sandal",,
"サンドイッチ","サンドイッチ","n","sandwich",,
"ジャム","ジャム","n","jam",,
"スクリーン","スクリーン","n","screen",,
"ステレオ","ステレオ","n","stereo",,
"ステーキ","ステーキ","n","steak",,
"すり","すり","n","pickpocket",,
"スーツ","スーツ","n","suit",,
"スーツケース","スーツケース","n","suitcase",,
"スーパー（マーケット）","スーパー（マーケット）","n","super (market)",,
"ソフト","ソフト","n","soft",,
"そろそろ","そろそろ","n","gradually","steadily,soon",
"タイプ","タイプ","n","type","style",
"チェック・する","チェック・する","n","check",,
"テキスト","テキスト","n","(1)text","(2)text book",
"テニス","テニス","n","tennis",,
"のど","のど","n","throat",,
"はず","はず","n","it should be so",,
"パソコン","パソコン","n","(personal) computer",,
"パパ","パパ","n","papa","father",
"ハンバーグ","ハンバーグ","n","hamburger (meat , no bun)",,
"ピアノ","ピアノ","n","piano",,
"ビル","ビル","n","(abbr) building","bill",
"プレゼント","プレゼント","n","present","gift",
"ベル","ベル","n","bell",,
"レジ","レジ","n","register",,
"レポート/リポート","レポート/リポート","n","report","essay,assignment (aus)",
"ワープロ","ワープロ","n","word processor",,
"一度","いちど","n-adv","once","one time, on one occasion, temporarily, for a moment, one degree, one tone, one musical interval",
"以下","いか","n-adv","not exceeding","and downward, ... and below, below (e.g. standard), under (e.g. a level), the below-mentioned, the following, the rest",
"以外","いがい","n-adv","with the exception of","excepting",
"このあいだ","このあいだ","n-adv","the other day","recently",
"場合","ばあい","n-adv, n","case","situation",
"この頃","このごろ, このころ","n-adv, n-t","recently","nowadays, these days, now, at present",
"今夜","こんや","n-adv, n-t","this evening","tonight",
"今度","こんど","n-adv, n-t","now","this time, next time, another time",
"以上, 已上","いじょう","n-adv, n-t","not less than","this is all, … and more, ... and upwards, beyond ... (e.g. one's means), further (e.g. nothing further to say), more than ... (e.g. cannot pay more than that), above-mentioned, foregoing, since ..., seeing that ..., that is the end, the end",
"再来月, さ来月","さらいげつ","n-adv, n-t","month after next",,
"再来週, さ来週","さらいしゅう","n-adv, n-t","week after next",,
"大体","だいたい","n-adv, n-t","general","substantially, outline, main point, approximately, about",
"将来","しょうらい","n-adv, n-t","future (usually near)","prospects",
"日, 陽","ひ","n-adv, n-t","day","days, sun, sunshine, sunlight, case (esp. unfortunate), event",
"昼休み","ひるやすみ","n-adv, n-t","lunch break","noon recess, noon rest period",
"昼間","ひるま, ちゅうかん","n-adv, n-t","daytime","during the day, time from sunrise until sunset, diurnal period",
"途中","とちゅう","n-adv, n-t","on the way","en route, in the middle of, midway",
"ほとんど","ほとんど","n-adv, n-t","mostly","nearly, practically, well-nigh, almost invariably, all but, just about, almost",
"間","あいだ","n-adv, n, n-adv, n-t, n-adv, n, n-t, n-adv, n, conj","space (between)","gap, interval, distance, time (between), pause, break, span (temporal or spatial), stretch, period (while), relationship (between, among), members (within, among)",
"通り","とおり","n-adv, n, n-suf","avenue","street, way",
"程","ほど","n-adv, n, prt","degree","extent, bounds, limit, indicates approx. amount or maximum, upper limit",
"パート（タイム）","パート（タイム）","n-adv,n","part time (esp female part time employees)",,
"～君","～くん","n-suf","Mr (junior) ～","master ～",
"～員","～いん","n-suf","member of ～",,
"～様","～さま","n-suf","Mr or Mrs ～",,
"店","てん","n-suf","-store"," -shop","spot,mark,point,dot"
"様","よう","n-suf, n, n","(usu. after the -masu stem of a verb) appearing ...","looking ..., (usu. after the -masu stem of a verb) way to ..., method of ...ing, (usu. after a noun) form, style, design, (usu. after a noun) like, similar to, thing (thought or spoken)",
"明日","あした, あす, みょうにち","n-t","tomorrow",,
"これから","これから","n-t","after this",,
"時代","じだい","n-t, n","period","epoch, era, age, the times, those days, oldness, ancientness, antiquity, antique, period piece",
"この間","このあいだん","n-t, n-adv","the other day","lately, recently, during this period, meanwhile, in the meantime",
"～月","～つき","n-temp","month",,
"両方","りょうほう","n, adj-no","both sides","both parties",
"亜細亜","アジア, あじあ","n, adj-no","Asia (esp. ""the Far East"")","Asian, Asiatic",
"(1)代わり","かわり","n, adj-no","substitute","replacement, substituting, replacing, stand-in, proxy, alternate, deputy, relief, successor, compensation, exchange, return",
"(2)代わり","かわり","n, adj-no","second helping","another cup, seconds",
"国際","こくさい","n, adj-no","international",,
"売り場, 売場","うりば","n, adj-no","place where things are sold","point of sale, POS, sales floor, counter (in shop)",
"女性","じょせい","n, adj-no","woman","female, feminine gender",
"季節","きせつ","n, adj-no","season",,
"専門, 專門","せんもん","n, adj-no","specialty","speciality, study major, expert",
"小説","しょうせつ","n, adj-no","novel","(short) story",
"店員","てんいん","n, adj-no","shop assistant","employee, clerk, salesperson",
"教会","きょうかい","n, adj-no","church",,
"文法","ぶんぽう","n, adj-no","grammar","syntax",
"景色","けしき","n, adj-no","scenery","scene, landscape",
"歴史","れきし","n, adj-no","history",,
"法律","ほうりつ","n, adj-no","law",,
"海岸","かいがん","n, adj-no","coast","beach",
"玄関, 玄關","げんかん","n, adj-no","(Japanese-style) entrance way","entry hall, vestibule, foyer, entryway, mud room",
"産業","さんぎょう","n, adj-no","industry",,
"田舎","いなか","n, adj-no","rural area","countryside, the sticks, hometown",
"男性","だんせい","n, adj-no","man","male, masculine gender",
"祖母","そぼ, ばば, おおば, おば, うば","n, adj-no","grandmother",,
"祖父","そふ, じじ, じい, おおじ, おじ, そぶ","n, adj-no","grandfather"," old man",
"習慣","しゅうかん","n, adj-no","custom","habit, manners",
"西洋","せいよう","n, adj-no","the west","Western countries",
"警察","けいさつ","n, adj-no","police",,
"近所","きんじょ","n, adj-no","neighborhood","neighbourhood",
"郊外","こうがい","n, adj-no","suburb","outskirts",
"危険","きけん","n, adj-no, adj-na","danger","peril, hazard, dangerous, hazardous",
"最後","さいご","n, adj-no, exp","last","end, conclusion, latest, most recent, (after -tara form or -ta form followed by ""ga"") no sooner than, right after (often having negative consequences), one's final moments",
"内, 中","うち","n, adj-no, pn, adj-no, n, pn, adj-no","inside","within, while, among, amongst, between",
"失敗","しっぱい","n, adj-no, vs","failure","mistake, blunder",
"教育","きょういく","n, adj-no, vs","training","education",
"競争","きょうそう","n, adj-no, vs","competition","contest, to compete",
"以内","いない","n, n-suf","within","inside of, less than",
"回り, 周り","まわり","n, n-suf","circumference","perimeter, edge, surroundings, locality, neighborhood, rotation, circulation",
"市","し","n, n-suf","city",,
"火","ひ","n, n-suf","fire","flame, blaze",
"用","よう","n, n-suf","task","business, use, duty, service, call of nature, excretion",
"糸","いと","n, n-suf","thread","yarn, string",
"線","せん","n, n-suf","line","stripe, line (e.g. telephone line), wire, ray (e.g. X-ray), beam, line (e.g. of a railroad), track, route, lane, outline, contours, form, level, division, line (of action), position, approach, policy, principle",
"遊び","あそび","n, n-suf","playing","play",
"音","おと, ね, おん","n, n-suf","sound","noise, report, note (music), fame, Chinese-derived character reading",
"船, 舟","ふね","n, n-suf, ctr","ship","boat, watercraft, vessel, steamship, tank, tub, vat, trough, counter for boat-shaped containers (e.g. of sashimi)",
"隅, 角","すみ, すま","n, n-suf, n","corner","nook, recess, downstage right (on a noh stage)",
"子, 児","こ","n, n-suf, n-suf","child","young (animal), young woman, young geisha, offshoot, interest, new shares, bird egg, (after a noun or -masu stem) -er (often of young women)",
"月","つき","n, n-t","moon","month",
"(1)方","かた","n, n, n-suf, n-suf","(hon) person","lady, gentleman",
"(2)方","かた","n, n, n-suf, n-suf","way of doing","method of, manner of, direction, way",
"受付","うけつけ","n, n, vs","reception (desk)","information desk, receipt, acceptance",
"お宅, 御宅","おたく","n, pn, adj-no","your house","your home, your family, your husband, your organization, you (referring to someone of equal status with whom one is not especially close)",
"草","くさ","n, pref","grass"," weed, herb, thatch, ninja, not genuine, substandard",
